index;Format;Year;Units;Revenue;Revenue (Inflation Adjusted)
0;8 - Track;1973;910000000;489000000;2699600000
1;8 - Track;1974;967000000;549200000;2730600000
2;8 - Track;1975;946000000;583000000;2656200000
3;8 - Track;1976;1061000000;678200000;2921600000
4;8 - Track;1977;1273000000;811000000;3280400000
5;8 - Track;1978;1336000000;948000000;3564000000
6;8 - Track;1979;1023000000;684300000;2310400000
7;8 - Track;1980;850000000;527000000;1567700000
8;8 - Track;1981;500000000;313000000;844000000
9;8 - Track;1982;137000000;36000000;91400000
10;8 - Track;1983;0;0;0
11;8 - Track;1984;0;0;0
12;8 - Track;1985;0;0;0
13;8 - Track;1986;0;0;0
14;8 - Track;1987;0;0;0
15;8 - Track;1988;0;0;0
16;8 - Track;1989;0;0;0
17;8 - Track;1990;0;0;0
18;8 - Track;1991;0;0;0
19;8 - Track;1992;0;0;0
20;8 - Track;1993;0;0;0
21;8 - Track;1994;0;0;0
22;8 - Track;1995;0;0;0
23;8 - Track;1996;0;0;0
24;8 - Track;1997;0;0;0
25;8 - Track;1998;0;0;0
26;8 - Track;1999;0;0;0
27;8 - Track;2000;0;0;0
28;8 - Track;2001;0;0;0
29;8 - Track;2002;0;0;0
30;8 - Track;2003;0;0;0
31;8 - Track;2004;0;0;0
32;8 - Track;2005;0;0;0
33;8 - Track;2006;0;0;0
34;8 - Track;2007;0;0;0
35;8 - Track;2008;0;0;0
36;8 - Track;2009;0;0;0
37;8 - Track;2010;0;0;0
38;8 - Track;2011;0;0;0
39;8 - Track;2012;0;0;0
40;8 - Track;2013;0;0;0
41;8 - Track;2014;0;0;0
42;8 - Track;2015;0;0;0
43;8 - Track;2016;0;0;0
44;8 - Track;2017;0;0;0
45;8 - Track;2018;0;0;0
46;Cassette;1973;150000000;76000000;419600000
47;Cassette;1974;153000000;87200000;433600000
48;Cassette;1975;162000000;98800000;450100000
49;Cassette;1976;218000000;145700000;627700000
50;Cassette;1977;369000000;249600000;1009600000
51;Cassette;1978;613000000;449800000;1691000000
52;Cassette;1979;785000000;580600000;1960300000
53;Cassette;1980;990000000;705000000;2097200000
54;Cassette;1981;1240000000;1062800000;2865900000
55;Cassette;1982;1832000000;1384500000;3516800000
56;Cassette;1983;2368000000;1810900000;4456700000
57;Cassette;1984;3320000000;2383900000;5624100000
58;Cassette;1985;3391000000;2411500000;5493600000
59;Cassette;1986;3445000000;2499500000;5590100000
60;Cassette;1987;4151000000;2974000000;6417200000
61;Cassette;1988;4726000000;3442400000;7132700000
62;Cassette;1989;5224000000;3540400000;6998600000
63;Cassette;1990;5296000000;3730300000;6996000000
64;Cassette;1991;4291000000;3250000000;5849100000
65;Cassette;1992;4510000000;3415100000;5966500000
66;Cassette;1993;4251000000;3214300000;5452600000
67;Cassette;1994;4265000000;3251300000;5377600000
68;Cassette;1995;3433000000;2539900000;4085200000
69;Cassette;1996;2852000000;2094600000;3272300000
70;Cassette;1997;2148000000;1656200000;2529400000
71;Cassette;1998;1849000000;1514300000;2277300000
72;Cassette;1999;1378000000;1109600000;1632500000
73;Cassette;2000;773000000;630600000;897600000
74;Cassette;2001;435000000;358100000;495700000
75;Cassette;2002;306000000;208200000;283700000
76;Cassette;2003;172000000;108100000;144000000
77;Cassette;2004;52000000;23700000;30800000
78;Cassette;2005;25000000;13100000;16400000
79;Cassette;2006;7000000;3700000;4500000
80;Cassette;2007;4000000;3000000;3500000
81;Cassette;2008;1000000;900000;1000000
82;Cassette;2009;0;0;0
83;Cassette;2010;0;0;0
84;Cassette;2011;0;0;0
85;Cassette;2012;0;0;0
86;Cassette;2013;0;0;0
87;Cassette;2014;0;0;0
88;Cassette;2015;0;0;0
89;Cassette;2016;0;0;0
90;Cassette;2017;0;0;0
91;Cassette;2018;0;0;0
92;CD;1973;0;0;0
93;CD;1974;0;0;0
94;CD;1975;0;0;0
95;CD;1976;0;0;0
96;CD;1977;0;0;0
97;CD;1978;0;0;0
98;CD;1979;0;0;0
99;CD;1980;0;0;0
100;CD;1981;0;0;0
101;CD;1982;0;0;0
102;CD;1983;8000000;17200000;42300000
103;CD;1984;58000000;103300000;243700000
104;CD;1985;226000000;389500000;887300000
105;CD;1986;530000000;930100000;2080200000
106;CD;1987;1021000000;1593600000;3438600000
107;CD;1988;1513000000;2099700000;4350600000
108;CD;1989;2071000000;2587000000;5113900000
109;CD;1990;2876000000;3457600000;6484600000
110;CD;1991;3390000000;4372800000;7869800000
111;CD;1992;4148000000;5371600000;9384800000
112;CD;1993;5032000000;6557200000;11123200000
113;CD;1994;6714000000;8520600000;14092900000
114;CD;1995;7444000000;9488300000;15261000000
115;CD;1996;8221000000;10118800000;15808300000
116;CD;1997;8198000000;10187800000;15559100000
117;CD;1998;9030000000;11629200000;17488000000
118;CD;1999;9948000000;13038700000;19183900000
119;CD;2000;9767000000;13357200000;19013400000
120;CD;2001;8992000000;12988800000;17977500000
121;CD;2002;8078000000;12063700000;16437200000
122;CD;2003;7543000000;11268900000;15012200000
123;CD;2004;7701000000;11461500000;14872700000
124;CD;2005;7082000000;10531100000;13217500000
125;CD;2006;6214000000;9380300000;11405300000
126;CD;2007;5023000000;7464500000;8826300000
127;CD;2008;3691000000;5474800000;6233000000
128;CD;2009;2975000000;4321900000;4938000000
129;CD;2010;2540000000;3392300000;3813400000
130;CD;2011;2421000000;3104200000;3382700000
131;CD;2012;1993000000;2488800000;2722000000
132;CD;2013;1744000000;2143300000;2310300000
133;CD;2014;1396000000;1779800000;1887900000
134;CD;2015;1175000000;1446200000;1532200000
135;CD;2016;977000000;1131100000;1183400000
136;CD;2017;878000000;1058800000;1084600000
137;CD;2018;520000000;698600000;698600000
138;Record;1973;5080000000;1436000000;7927700000
139;Record;1974;4800000000;1550000000;7706600000
140;Record;1975;4210000000;1696500000;7729500000
141;Record;1976;4630000000;1908100000;8220000000
142;Record;1977;5340000000;2440200000;9870300000
143;Record;1978;5313000000;2733600000;10277000000
