keyid;monarchs;birth;death;reign_start;reign_end;notes
0;gorm_den_gamle;NA;958;936;958;reign_start_mentioned_first_here
1;harald_blaatand;NA;987;958;987;birth_unknown
2;svend_tveskaeg;NA;1014;987;1014;birth_unknown
3;harald_ii;NA;1018;1014;1018;birth_unknown
4;knud_i_den_store;995;1035;1018;1035;
5;hardeknud;1020;1042;1035;1042;
6;magnus_den_gode;1024;1047;1042;1047;
7;svend_ii_estridsen;NA;1074;1047;1074;birth_unknown
8;harald_iIi_hen;NA;1080;1074;1080;birth_unknown
9;knud_ii_den_hellige;NA;1086;1080;1086;birth_unknown
10;oluf_i_hunger;NA;1095;1086;1095;birth_unknown
11;erik_i_ejegod;1056;1103;1095;1103;
12;niels;NA;1134;1104;1134;birth_unknown
13;erik_ii_emune;NA;1137;1134;1137;birth_unknown
14;erik_iii_lam;NA;1146;1137;1146;birth_unknown
15;valdemar_i_store;1131;1182;1146;1182;including_three_king_period
16;knud_iv;1163;1202;1182;1202;
17;valdemar_ii_sejr;1170;1241;1202;1241;
18;erik_iv_plovpenning;1216;1250;1241;1250;
19;abel;1218;1252;1250;1252;
20;christoffer_i;1219;1259;1252;1259;
21;erik_v_klipping;1249;1286;1259;1286;
22;erik_vi_menved;1274;1319;1286;1319;
23;christoffer_ii;1276;1332;1319;1326;
24;valdemar_iii;1315;1364;1326;1329;
23;christoffer_ii_again;1276;1332;1329;1332;
25;valdemar_iv_atterdag;1320;1375;1340;1375;
27;oluf_ii;1370;1387;1375;1387;
26;margrete_i;1353;1412;1387;1396;
28;erik_vii_pommern;1382;1459;1396;1439;
29;christoffer_iii_bayern;1416;1448;1440;1448;
30;christian_i;1426;1481;1448;1481;
31;hans;1455;1513;1482;1513;
33;christian_ii;1481;1559;1513;1523;
32;frederik_i;1471;1533;1523;1533;
34;christian_iii;1503;1559;1536;1559;
35;frederik_ii;1534;1588;1559;1588;
36;christian_iv;1577;1648;1596;1648;
37;frederik_iii;1609;1670;1648;1670;
38;christian_v;1646;1699;1670;1699;
39;frederik_iv;1671;1730;1699;1730;
40;christian_vi;1699;1746;1730;1746;
41;frederik_v;1723;1766;1746;1766;
42;christian_vii;1749;1808;1766;1808;
43;frederik_vi;1768;1839;1808;1839;
44;christian_viii;1786;1848;1839;1848;
45;frederik_vii;1808;1863;1848;1863;
46;christian_ix;1818;1906;1863;1906;
47;frederik_viii;1843;1912;1906;1912;
48;christian_x;1870;1947;1912;1947;
49;frederik_ix;1899;1972;1947;1972;
50;margrethe_ii;1940;NA;1972;2024;still_alive
51;frederik_x;1968;NA;2024;NA;still_alive
